id_partido,id_competicion,id_temporada,fecha,id_equipo_local,id_equipo_visitante,jornada,goles_equipo_local,goles_equipo_visitante
,CopaReyESP,13/14_CopaReyESP,2013-09-04,525,528,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-09-04,518,532,,2,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,531,507,,3,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,512,515,,3,2
,CopaReyESP,13/14_CopaReyESP,2013-09-04,505,536,,0,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,463,534,,3,0
,CopaReyESP,13/14_CopaReyESP,2013-09-04,517,516,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-09-04,537,491,,0,0
,CopaReyESP,13/14_CopaReyESP,2013-09-04,527,522,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-09-04,523,535,,3,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,511,502,,2,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,488,510,,1,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,506,486,,0,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,530,504,,2,2
,CopaReyESP,13/14_CopaReyESP,2013-09-04,526,538,,2,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,533,495,,1,2
,CopaReyESP,13/14_CopaReyESP,2013-09-04,509,503,,1,1
,CopaReyESP,13/14_CopaReyESP,2013-09-04,529,513,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-09-10,462,484,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-09-10,483,487,,1,4
,CopaReyESP,13/14_CopaReyESP,2013-09-11,518,512,,2,0
,CopaReyESP,13/14_CopaReyESP,2013-09-11,488,495,,1,1
,CopaReyESP,13/14_CopaReyESP,2013-09-11,493,494,,2,1
,CopaReyESP,13/14_CopaReyESP,2013-09-11,496,461,,1,3
,CopaReyESP,13/14_CopaReyESP,2013-09-11,521,498,,3,4
,CopaReyESP,13/14_CopaReyESP,2013-09-11,514,527,,2,0
,CopaReyESP,13/14_CopaReyESP,2013-09-11,464,492,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-09-11,536,523,,0,3
,CopaReyESP,13/14_CopaReyESP,2013-09-11,463,520,,5,1
,CopaReyESP,13/14_CopaReyESP,2013-09-11,537,525,,1,0
,CopaReyESP,13/14_CopaReyESP,2013-09-11,519,517,,1,0
